;Scopy version,f4beeb1
;Exported on,Wednesday May 22/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
138,-0.03026,0.329845,-3.0011
139,-0.03025,0.329845,-3.0011
140,-0.03024,0.325083,-3.0011
141,-0.03023,0.323496,-2.99952
142,-0.03022,0.318735,-2.99952
143,-0.03021,0.315561,-2.99793
144,-0.0302,0.315561,-2.99793
145,-0.03019,0.3108,-2.99793
146,-0.03018,0.309213,-2.99476
147,-0.03017,0.306039,-2.99476
148,-0.03016,0.302865,-2.99317
149,-0.03015,0.301278,-2.99317
150,-0.03014,0.296517,-2.99158
151,-0.03013,0.29493,-2.99158
152,-0.03012,0.291755,-2.99
153,-0.03011,0.288581,-2.99
154,-0.0301,0.286994,-2.98682
155,-0.03009,0.28382,-2.98682
156,-0.03008,0.282233,-2.98523
157,-0.03007,0.279059,-2.98365
158,-0.03006,0.277472,-2.98365
159,-0.03005,0.272711,-2.98206
160,-0.03004,0.271124,-2.98206
161,-0.03003,0.26795,-2.98047
162,-0.03002,0.264776,-2.98047
163,-0.03001,0.263189,-2.97889
164,-0.03,0.260015,-2.9773
165,-0.02999,0.25684,-2.9773
166,-0.02998,0.255253,-2.97571
167,-0.02997,0.250492,-2.97571
168,-0.02996,0.247318,-2.97412
169,-0.02995,0.245731,-2.97412
170,-0.02994,0.242557,-2.97254
171,-0.02993,0.24097,-2.97254
172,-0.02992,0.237796,-2.97095
173,-0.02991,0.234622,-2.97095
174,-0.0299,0.233035,-2.96936
175,-0.02989,0.228274,-2.96778
176,-0.02988,0.225099,-2.96778
177,-0.02987,0.223512,-2.9646
178,-0.02986,0.220338,-2.9646
179,-0.02985,0.217164,-2.96302
180,-0.02984,0.215577,-2.96302
181,-0.02983,0.210816,-2.96143
182,-0.02982,0.210816,-2.96143
183,-0.02981,0.206055,-2.95825
184,-0.0298,0.202881,-2.95825
185,-0.02979,0.201294,-2.95825
186,-0.02978,0.196533,-2.95508
187,-0.02977,0.196533,-2.95508
188,-0.02976,0.191772,-2.95508
189,-0.02975,0.191772,-2.95349
190,-0.02974,0.188597,-2.95191
191,-0.02973,0.182249,-2.95191
192,-0.02972,0.182249,-2.95032
193,-0.02971,0.179075,-2.95032
194,-0.0297,0.174314,-2.94873
195,-0.02969,0.174314,-2.94556
196,-0.02968,0.17114,-2.94556
197,-0.02967,0.167966,-2.94397
198,-0.02966,0.166379,-2.9408
199,-0.02965,0.163205,-2.9408
200,-0.02964,0.160031,-2.93762
201,-0.02963,0.155269,-2.93445
202,-0.02962,0.155269,-2.93604
203,-0.02961,0.152095,-2.93286
204,-0.0296,0.147334,-2.92969
205,-0.02959,0.147334,-2.92969
206,-0.02958,0.14416,-2.92651
207,-0.02957,0.140986,-2.92334
208,-0.02956,0.136225,-2.92334
209,-0.02955,0.134638,-2.91699
210,-0.02954,0.129877,-2.91382
211,-0.02953,0.129877,-2.91064
212,-0.02952,0.126703,-2.90747
213,-0.02951,0.123529,-2.90429
214,-0.0295,0.121941,-2.90112
215,-0.02949,0.118767,-2.8916
216,-0.02948,0.114006,-2.88842
217,-0.02947,0.112419,-2.88366
218,-0.02946,0.109245,-2.87732
219,-0.02945,0.106071,-2.86938
220,-0.02944,0.102897,-2.86303
221,-0.02943,0.102897,-2.85351
222,-0.02942,0.0997228,-2.84399
223,-0.02941,0.0965487,-2.83446
224,-0.0294,0.0917876,-2.82336
225,-0.02939,0.0886135,-2.81066
226,-0.02938,0.0886135,-2.79796
227,-0.02937,0.0838524,-2.78368
228,-0.02936,0.0838524,-2.76781
229,-0.02935,0.0790912,-2.75035
230,-0.02934,0.0759171,-2.72972
231,-0.02933,0.0759171,-2.70909
232,-0.02932,0.0695689,-2.68528
233,-0.02931,0.0663949,-2.66148
234,-0.0293,0.0663949,-2.62974
235,-0.02929,0.0632208,-2.59958
236,-0.02928,0.0600467,-2.56467
237,-0.02927,0.0568726,-2.52816
238,-0.02926,0.0552855,-2.4869
239,-0.02925,0.0521114,-2.44246
240,-0.02924,0.0489373,-2.39327
241,-0.02923,0.0489373,-2.33772
242,-0.02922,0.0425892,-2.28217
243,-0.02921,0.0394151,-2.22028
244,-0.0292,0.036241,-2.15203
245,-0.02919,0.0346539,-2.07744
246,-0.02918,0.0314798,-2.00127
247,-0.02917,0.0298928,-1.91715
248,-0.02916,0.0267187,-1.82669
249,-0.02915,0.0219576,-1.72829
250,-0.02914,0.0219576,-1.62514
251,-0.02913,0.0171964,-1.51404
252,-0.02912,0.0171964,-1.39977
253,-0.02911,0.0124353,-1.28233
254,-0.0291,0.00926119,-1.15378
255,-0.02909,0.00926119,-1.02523
256,-0.02908,0.00450005,-0.885572
257,-0.02907,0.00450005,-0.749086
258,-0.02906,-0.00184814,-0.604665
259,-0.02905,-0.00184814,-0.457069
260,-0.02904,-0.00660928,-0.307887
261,-0.02903,-0.00978337,-0.153943
262,-0.02902,-0.00978337,0
263,-0.02901,-0.0145445,0.152356
264,-0.029,-0.0161316,0.303126
265,-0.02899,-0.0193056,0.453895
266,-0.02898,-0.0240668,0.599904
267,-0.02897,-0.0240668,0.744325
268,-0.02896,-0.0288279,0.883985
269,-0.02895,-0.030415,1.02047
270,-0.02894,-0.0335891,1.14902
271,-0.02893,-0.0367632,1.27599
272,-0.02892,-0.0383502,1.3966
273,-0.02891,-0.0415243,1.50928
274,-0.0289,-0.0446984,1.6172
275,-0.02889,-0.0478725,1.72195
276,-0.02888,-0.0510466,1.82034
277,-0.02887,-0.0526336,1.90763
278,-0.02886,-0.0558077,1.99333
279,-0.02885,-0.0589818,2.06951
280,-0.02884,-0.0605689,2.1441
281,-0.02883,-0.0637429,2.20917
282,-0.02882,-0.066917,2.27265
283,-0.02881,-0.0700911,2.3282
284,-0.0288,-0.0732652,2.38216
285,-0.02879,-0.0748523,2.42977
286,-0.02878,-0.0780264,2.47421
287,-0.02877,-0.0812005,2.51547
288,-0.02876,-0.0827875,2.55356
289,-0.02875,-0.0859616,2.58689
290,-0.02874,-0.0875486,2.61863
291,-0.02873,-0.0923098,2.64878
292,-0.02872,-0.0954839,2.67259
293,-0.02871,-0.0970709,2.69639
294,-0.0287,-0.100245,2.71702
295,-0.02869,-0.103419,2.73765
296,-0.02868,-0.105006,2.75353
297,-0.02867,-0.10818,2.7694
298,-0.02866,-0.109767,2.78527
299,-0.02865,-0.114528,2.79638
300,-0.02864,-0.117703,2.81066
301,-0.02863,-0.11929,2.82018
302,-0.02862,-0.122464,2.83129
303,-0.02861,-0.124051,2.84081
304,-0.0286,-0.127225,2.84716
305,-0.02859,-0.130399,2.85668
306,-0.02858,-0.131986,2.86303
307,-0.02857,-0.136747,2.86938
308,-0.02856,-0.139921,2.87573
309,-0.02855,-0.141508,2.88049
310,-0.02854,-0.146269,2.88525
311,-0.02853,-0.146269,2.88842
312,-0.02852,-0.149443,2.89319
313,-0.02851,-0.152618,2.89795
314,-0.0285,-0.157379,2.89953
315,-0.02849,-0.158966,2.90271
316,-0.02848,-0.163727,2.90588
317,-0.02847,-0.163727,2.91064
318,-0.02846,-0.166901,2.91064
319,-0.02845,-0.170075,2.9154
320,-0.02844,-0.171662,2.9154
321,-0.02843,-0.174836,2.91699
322,-0.02842,-0.17801,2.92175
323,-0.02841,-0.182771,2.92334
324,-0.0284,-0.182771,2.92493
325,-0.02839,-0.185946,2.92651
326,-0.02838,-0.18912,2.9281
327,-0.02837,-0.190707,2.92969
328,-0.02836,-0.195468,2.93127
329,-0.02835,-0.195468,2.93127
330,-0.02834,-0.198642,2.93286
331,-0.02833,-0.20499,2.93286
332,-0.02832,-0.20499,2.93604
333,-0.02831,-0.208164,2.93604
334,-0.0283,-0.211338,2.93762
335,-0.02829,-0.212925,2.93921
336,-0.02828,-0.217686,2.93921
337,-0.02827,-0.217686,2.93921
338,-0.02826,-0.220861,2.94397
339,-0.02825,-0.227209,2.94397
340,-0.02824,-0.227209,2.94397
341,-0.02823,-0.230383,2.94397
342,-0.02822,-0.233557,2.94714
343,-0.02821,-0.236731,2.94714
344,-0.0282,-0.238318,2.94714
345,-0.02819,-0.241492,2.95032
346,-0.02818,-0.244666,2.95032
347,-0.02817,-0.249427,2.95191
348,-0.02816,-0.249427,2.95349
349,-0.02815,-0.252601,2.95349
350,-0.02814,-0.257363,2.95508
351,-0.02813,-0.257363,2.95508
352,-0.02812,-0.262124,2.95508
353,-0.02811,-0.262124,2.95825
354,-0.0281,-0.266885,2.95825
355,-0.02809,-0.271646,2.95984
356,-0.02808,-0.271646,2.95984
357,-0.02807,-0.27482,2.96143
358,-0.02806,-0.277994,2.96143
359,-0.02805,-0.281168,2.96302
360,-0.02804,-0.282755,2.96302
361,-0.02803,-0.285929,2.96302
362,-0.02802,-0.289104,2.96619
363,-0.02801,-0.290691,2.96619
364,-0.028,-0.295452,2.96619
365,-0.02799,-0.298626,2.96936
366,-0.02798,-0.298626,2.96936
367,-0.02797,-0.303387,2.97095
368,-0.02796,-0.306561,2.97095
369,-0.02795,-0.308148,2.97254
370,-0.02794,-0.311322,2.97254
371,-0.02793,-0.311322,2.97412
372,-0.02792,-0.31767,2.97412
373,-0.02791,-0.319257,2.97571
374,-0.0279,-0.322432,2.97571
375,-0.02789,-0.325606,2.9773
376,-0.02788,-0.327193,2.9773
377,-0.02787,-0.330367,2.97889
378,-0.02786,-0.331954,2.98047
379,-0.02785,-0.335128,2.98206
380,-0.02784,-0.339889,2.98206
381,-0.02783,-0.343063,2.98365
382,-0.02782,-0.34465,2.98365
383,-0.02781,-0.347824,2.98523
384,-0.0278,-0.350998,2.98523
385,-0.02779,-0.350998,2.98841
386,-0.02778,-0.355759,2.98841
387,-0.02777,-0.355759,2.98841
388,-0.02776,-0.357347,2.98841
389,-0.02775,-0.352585,2.98523
390,-0.02774,-0.352585,2.98523
391,-0.02773,-0.347824,2.98365
392,-0.02772,-0.347824,2.98365
393,-0.02771,-0.34465,2.98365
394,-0.0277,-0.341476,2.98206
395,-0.02769,-0.335128,2.98206
396,-0.02768,-0.335128,2.98047
397,-0.02767,-0.331954,2.98047
398,-0.02766,-0.32878,2.97889
399,-0.02765,-0.327193,2.9773
400,-0.02764,-0.322432,2.9773
401,-0.02763,-0.322432,2.97571
402,-0.02762,-0.319257,2.97571
403,-0.02761,-0.314496,2.97412
404,-0.0276,-0.312909,2.97254
405,-0.02759,-0.308148,2.97254
406,-0.02758,-0.308148,2.97095
407,-0.02757,-0.304974,2.97095
408,-0.02756,-0.300213,2.97095
409,-0.02755,-0.300213,2.96936
410,-0.02754,-0.295452,2.96778
411,-0.02753,-0.295452,2.96778
412,-0.02752,-0.290691,2.96619
413,-0.02751,-0.285929,2.96619
414,-0.0275,-0.285929,2.96619
415,-0.02749,-0.282755,2.96619
416,-0.02748,-0.279581,2.96143
417,-0.02747,-0.276407,2.96143
418,-0.02746,-0.273233,2.96143
419,-0.02745,-0.273233,2.95984
420,-0.02744,-0.268472,2.95984
421,-0.02743,-0.265298,2.95667
422,-0.02742,-0.262124,2.95667
423,-0.02741,-0.260537,2.95667
424,-0.0274,-0.257363,2.95508
425,-0.02739,-0.254189,2.95508
426,-0.02738,-0.252601,2.95349
427,-0.02737,-0.249427,2.95191
428,-0.02736,-0.246253,2.95191
429,-0.02735,-0.243079,2.94873
430,-0.02734,-0.239905,2.94873
431,-0.02733,-0.236731,2.94873
432,-0.02732,-0.236731,2.94714
433,-0.02731,-0.23197,2.94714
434,-0.0273,-0.228796,2.94556
435,-0.02729,-0.228796,2.94556
436,-0.02728,-0.222448,2.94238
437,-0.02727,-0.220861,2.94238
438,-0.02726,-0.217686,2.94238
439,-0.02725,-0.214512,2.93921
440,-0.02724,-0.214512,2.93921
441,-0.02723,-0.209751,2.93604
442,-0.02722,-0.208164,2.93604
443,-0.02721,-0.20499,2.93445
444,-0.0272,-0.200229,2.93445
445,-0.02719,-0.200229,2.93127
446,-0.02718,-0.195468,2.93127
447,-0.02717,-0.192294,2.92969
448,-0.02716,-0.192294,2.9281
449,-0.02715,-0.187533,2.92651
450,-0.02714,-0.187533,2.92493
451,-0.02713,-0.182771,2.92334
452,-0.02712,-0.181184,2.92175
453,-0.02711,-0.176423,2.92017
454,-0.0271,-0.173249,2.91699
455,-0.02709,-0.173249,2.91699
456,-0.02708,-0.168488,2.91382
457,-0.02707,-0.165314,2.91064
458,-0.02706,-0.165314,2.90906
459,-0.02705,-0.160553,2.90588
460,-0.02704,-0.160553,2.90271
461,-0.02703,-0.154205,2.89953
462,-0.02702,-0.152618,2.89636
463,-0.02701,-0.149443,2.8916
464,-0.027,-0.146269,2.89001
465,-0.02699,-0.143095,2.88366
466,-0.02698,-0.143095,2.88049
467,-0.02697,-0.138334,2.87414
468,-0.02696,-0.136747,2.86779
469,-0.02695,-0.131986,2.86144
470,-0.02694,-0.128812,2.8551
471,-0.02693,-0.127225,2.84716
472,-0.02692,-0.124051,2.83764
473,-0.02691,-0.120877,2.8297
474,-0.0269,-0.11929,2.82177
475,-0.02689,-0.116115,2.80907
476,-0.02688,-0.112941,2.79638
477,-0.02687,-0.109767,2.78527
478,-0.02686,-0.106593,2.76781
479,-0.02685,-0.105006,2.75194
480,-0.02684,-0.101832,2.73607
481,-0.02683,-0.100245,2.71702
482,-0.02682,-0.0970709,2.69322
483,-0.02681,-0.0954839,2.66941
484,-0.0268,-0.0923098,2.64561
485,-0.02679,-0.0875486,2.61387
486,-0.02678,-0.0859616,2.58212
487,-0.02677,-0.0827875,2.5488
488,-0.02676,-0.0796134,2.51071
489,-0.02675,-0.0764393,2.46944
490,-0.02674,-0.0748523,2.42501
491,-0.02673,-0.0716782,2.37581
492,-0.02672,-0.0700911,2.32344
493,-0.02671,-0.066917,2.26472
494,-0.0267,-0.0637429,2.20441
495,-0.02669,-0.0605689,2.13616
496,-0.02668,-0.0589818,2.05999
497,-0.02667,-0.0558077,1.98222
498,-0.02666,-0.0526336,1.89969
499,-0.02665,-0.0510466,1.80923
500,-0.02664,-0.0478725,1.70766
501,-0.02663,-0.0446984,1.60609
502,-0.02662,-0.0415243,1.495
503,-0.02661,-0.0383502,1.38232
504,-0.0266,-0.0335891,1.26329
505,-0.02659,-0.0335891,1.13791
506,-0.02658,-0.0288279,1.0046
507,-0.02657,-0.0288279,0.868114
508,-0.02656,-0.0256538,0.728454
509,-0.02655,-0.0224797,0.58562
510,-0.02654,-0.0193056,0.434851
511,-0.02653,-0.0161316,0.287255
512,-0.02652,-0.0129575,0.133312
513,-0.02651,-0.00978337,-0.0190446
514,-0.0265,-0.00978337,-0.171401
515,-0.02649,-0.00660928,-0.323757
516,-0.02648,-0.00343518,-0.471353
517,-0.02647,-0.000261091,-0.620535
518,-0.02646,0.00132596,-0.758608
519,-0.02645,0.00767414,-0.901442
520,-0.02644,0.00767414,-1.03634
521,-0.02643,0.0124353,-1.16648
522,-0.02642,0.0124353,-1.29344
523,-0.02641,0.0171964,-1.41247
524,-0.0264,0.0171964,-1.52515
525,-0.02639,0.0203705,-1.63624
526,-0.02638,0.0235446,-1.7394
527,-0.02637,0.0283057,-1.83463
528,-0.02636,0.0314798,-1.92667
529,-0.02635,0.0314798,-2.00761
530,-0.02634,0.0346539,-2.08855
531,-0.02633,0.037828,-2.15997
532,-0.02632,0.0410021,-2.22821
533,-0.02631,0.0425892,-2.28693
534,-0.0263,0.0489373,-2.34565
535,-0.02629,0.0489373,-2.39803
536,-0.02628,0.0521114,-2.44564
537,-0.02627,0.0552855,-2.49166
538,-0.02626,0.0584596,-2.52975
539,-0.02625,0.0616337,-2.56784
540,-0.02624,0.0616337,-2.60276
541,-0.02623,0.0648078,-2.6345
542,-0.02622,0.0695689,-2.66148
543,-0.02621,0.0695689,-2.69004
544,-0.0262,0.0743301,-2.71226
545,-0.02619,0.0775042,-2.73131
546,-0.02618,0.0806783,-2.75194
547,-0.02617,0.0838524,-2.7694
548,-0.02616,0.0838524,-2.78527
549,-0.02615,0.0886135,-2.79796
550,-0.02614,0.0917876,-2.81383
551,-0.02613,0.0917876,-2.82336
552,-0.02612,0.0981358,-2.83605
553,-0.02611,0.0981358,-2.84557
554,-0.0261,0.10131,-2.8551
555,-0.02609,0.104484,-2.86303
556,-0.02608,0.107658,-2.87097
557,-0.02607,0.110832,-2.8789
558,-0.02606,0.114006,-2.88208
559,-0.02605,0.114006,-2.88842
560,-0.02604,0.118767,-2.89319
561,-0.02603,0.121941,-2.90112
562,-0.02602,0.125116,-2.90429
563,-0.02601,0.126703,-2.90747
564,-0.026,0.129877,-2.91064
565,-0.02599,0.133051,-2.91382
566,-0.02598,0.133051,-2.91699
567,-0.02597,0.137812,-2.92334
568,-0.02596,0.140986,-2.92334
569,-0.02595,0.14416,-2.9281
570,-0.02594,0.147334,-2.9281
571,-0.02593,0.150508,-2.93127
572,-0.02592,0.150508,-2.93445
573,-0.02591,0.155269,-2.93445
574,-0.0259,0.158444,-2.93604
575,-0.02589,0.158444,-2.93921
576,-0.02588,0.164792,-2.93921
577,-0.02587,0.166379,-2.9408
578,-0.02586,0.169553,-2.9408
579,-0.02585,0.172727,-2.94556
580,-0.02584,0.172727,-2.94714
581,-0.02583,0.177488,-2.94873
582,-0.02582,0.179075,-2.94873
583,-0.02581,0.182249,-2.95032
584,-0.0258,0.18701,-2.95032
585,-0.02579,0.188597,-2.95032
586,-0.02578,0.191772,-2.95349
587,-0.02577,0.193359,-2.95508
588,-0.02576,0.196533,-2.95667
589,-0.02575,0.19812,-2.95667
590,-0.02574,0.201294,-2.95667
591,-0.02573,0.204468,-2.95984
592,-0.02572,0.209229,-2.95984
593,-0.02571,0.209229,-2.95984
594,-0.0257,0.21399,-2.96143
595,-0.02569,0.217164,-2.96143
596,-0.02568,0.218751,-2.96302
597,-0.02567,0.220338,-2.9646
598,-0.02566,0.223512,-2.9646
599,-0.02565,0.226687,-2.9646
600,-0.02564,0.228274,-2.96936
601,-0.02563,0.233035,-2.96936
602,-0.02562,0.234622,-2.97095
603,-0.02561,0.237796,-2.97095
604,-0.0256,0.24097,-2.97254
605,-0.02559,0.244144,-2.97254
606,-0.02558,0.245731,-2.97254
607,-0.02557,0.248905,-2.97412
608,-0.02556,0.253666,-2.97571
609,-0.02555,0.255253,-2.97571
610,-0.02554,0.258427,-2.9773
611,-0.02553,0.260015,-2.97889
612,-0.02552,0.263189,-2.97889
613,-0.02551,0.266363,-2.98047
614,-0.0255,0.26795,-2.98047
615,-0.02549,0.271124,-2.98206
616,-0.02548,0.272711,-2.98206
