;Scopy version,f4beeb1
;Exported on,Wednesday May 22/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.03164,-0.149553,2.85067
1,-0.03163,-0.15114,2.85067
2,-0.03162,-0.152727,2.85067
3,-0.03161,-0.154315,2.85067
4,-0.0316,-0.157489,2.88407
5,-0.03159,-0.159076,2.86737
6,-0.03158,-0.159076,2.86737
7,-0.03157,-0.159076,2.86737
8,-0.03156,-0.163837,2.88407
9,-0.03155,-0.16225,2.85067
10,-0.03154,-0.165424,2.86737
11,-0.03153,-0.167011,2.86737
12,-0.03152,-0.167011,2.83396
13,-0.03151,-0.168598,2.86737
14,-0.0315,-0.168598,2.85067
15,-0.03149,-0.171772,2.88407
16,-0.03148,-0.173359,2.86737
17,-0.03147,-0.173359,2.86737
18,-0.03146,-0.173359,2.86737
19,-0.03145,-0.176533,2.86737
20,-0.03144,-0.179707,2.86737
21,-0.03143,-0.181294,2.86737
22,-0.03142,-0.181294,2.86737
23,-0.03141,-0.182881,2.86737
24,-0.0314,-0.182881,2.88407
25,-0.03139,-0.182881,2.85067
26,-0.03138,-0.186055,2.88407
27,-0.03137,-0.187642,2.85067
28,-0.03136,-0.187642,2.85067
29,-0.03135,-0.18923,2.85067
30,-0.03134,-0.18923,2.88407
31,-0.03133,-0.190817,2.86737
32,-0.03132,-0.190817,2.86737
33,-0.03131,-0.190817,2.86737
34,-0.0313,-0.193991,2.86737
35,-0.03129,-0.193991,2.88407
36,-0.03128,-0.192404,2.83396
37,-0.03127,-0.190817,2.86737
38,-0.03126,-0.18923,2.86737
39,-0.03125,-0.18923,2.86737
40,-0.03124,-0.187642,2.86737
41,-0.03123,-0.186055,2.86737
42,-0.03122,-0.184468,2.86737
43,-0.03121,-0.181294,2.86737
44,-0.0312,-0.181294,2.86737
45,-0.03119,-0.181294,2.86737
46,-0.03118,-0.176533,2.88407
47,-0.03117,-0.174946,2.85067
48,-0.03116,-0.173359,2.86737
49,-0.03115,-0.171772,2.86737
50,-0.03114,-0.168598,2.85067
51,-0.03113,-0.170185,2.88407
52,-0.03112,-0.168598,2.86737
53,-0.03111,-0.167011,2.86737
54,-0.0311,-0.163837,2.86737
55,-0.03109,-0.163837,2.86737
56,-0.03108,-0.163837,2.86737
57,-0.03107,-0.160663,2.86737
58,-0.03106,-0.160663,2.86737
59,-0.03105,-0.159076,2.86737
60,-0.03104,-0.157489,2.86737
61,-0.03103,-0.157489,2.88407
62,-0.03102,-0.157489,2.85067
63,-0.03101,-0.152727,2.85067
64,-0.031,-0.152727,2.88407
65,-0.03099,-0.152727,2.85067
66,-0.03098,-0.149553,2.88407
67,-0.03097,-0.149553,2.86737
68,-0.03096,-0.149553,2.88407
69,-0.03095,-0.147966,2.85067
70,-0.03094,-0.147966,2.86737
71,-0.03093,-0.144792,2.86737
72,-0.03092,-0.144792,2.86737
73,-0.03091,-0.144792,2.85067
74,-0.0309,-0.141618,2.85067
75,-0.03089,-0.141618,2.85067
76,-0.03088,-0.140031,2.86737
77,-0.03087,-0.136857,2.85067
78,-0.03086,-0.136857,2.88407
79,-0.03085,-0.136857,2.85067
80,-0.03084,-0.13527,2.88407
81,-0.03083,-0.132096,2.86737
82,-0.03082,-0.130509,2.86737
83,-0.03081,-0.128922,2.86737
84,-0.0308,-0.125748,2.88407
85,-0.03079,-0.127335,2.85067
86,-0.03078,-0.125748,2.85067
87,-0.03077,-0.124161,2.85067
88,-0.03076,-0.122574,2.88407
89,-0.03075,-0.1194,2.88407
90,-0.03074,-0.1194,2.85067
91,-0.03073,-0.117812,2.85067
92,-0.03072,-0.116225,2.85067
93,-0.03071,-0.113051,2.85067
94,-0.0307,-0.111464,2.85067
95,-0.03069,-0.10829,2.85067
96,-0.03068,-0.10829,2.85067
97,-0.03067,-0.106703,2.85067
98,-0.03066,-0.103529,2.85067
99,-0.03065,-0.101942,2.85067
100,-0.03064,-0.100355,2.85067
101,-0.03063,-0.0987679,2.85067
102,-0.03062,-0.0971809,2.85067
103,-0.03061,-0.0955938,2.85067
104,-0.0306,-0.0955938,2.85067
105,-0.03059,-0.0924197,2.85067
106,-0.03058,-0.0924197,2.83396
107,-0.03057,-0.0908327,2.85067
